video_id,clip_id,text,label,annotation
_dI--eQ6qVU,1,BUT I CAN SAFELY ASSURE YOU THAT EVEN IF THEY DIDNT IT WOULD STILL BE A HIT,2.4,Positive
_dI--eQ6qVU,2,AND I LOVED IT,3.0,Positive
_dI--eQ6qVU,3,I DONT KNOW IF FANS OF THE COMIC WOULD BE AS INCLINED TO SAY THE SAME BECAUSE I DONT KNOW HOW MUCH IT DIFFERS FROM THE COMIC OR RADIO PROGRAM THAT PEOPLE LIKE SO MUCH,-0.2,Negative
_dI--eQ6qVU,4,BUT JUST GOING INTO THIS A AS AN OBSERVER AND SOMEONE WHO HAS NO IDEA IT WAS A FANTASTIC FILM IT WAS SO MUCH FUN,3.0,Positive
_dI--eQ6qVU,5,AND I WOULD TELL YOU RIGHT NOW IT WAS HILARIOUS,3.0,Positive
_dI--eQ6qVU,6,IT WAS REALLY REALLY FUNNY,2.8,Positive
_dI--eQ6qVU,7,AND MOST OF YOU KNOW HES A PRETTY FUNNY GUY,1.8,Positive
_dI--eQ6qVU,8,AND HE FUNNIED UP THIS MOVIE BIG TIME TOTALLY,2.6,Positive
_dI--eQ6qVU,9,SO THAT DOESNT SURPRISE ME,0.6,Positive
_dI--eQ6qVU,10,AND THE HUMOR IT WAS KIND OF NECESSARY,1.0,Positive
_dI--eQ6qVU,11,I FEEL LIKE IF THEY WOUDLNT HAVE INSERTED THE HUMOR INTO THIS MOVIE IT WOULDVE BEEN JUST TOO SERIOUS AND KIND OF BORING IN A SENSE,0.4,Positive
_dI--eQ6qVU,12,BUT THE HUMOR REALLY JUST NAILED IT,2.6,Positive
_dI--eQ6qVU,13,AND THE ACTION SEQUENCES IN THIS MOVIE ARE TENSED,2.6,Positive
_dI--eQ6qVU,14,I LOVE WHEN PEOPLE DO THIS,2.2,Positive
_dI--eQ6qVU,15,WHEN THEY JUST COME UP WITH THESE TOTALLY COMPLETELY NEW STYLIZED WAYS OF DEVELOPING ACTION SEQUENCES,1.6,Positive
_dI--eQ6qVU,16,COZ SURE ITS FUN TO SEE A SUPER HERO GO ROUND AND KICK BAD GUY BUTT YOU KNOW PUNCH KICK WHATEVER BAM,0.8,Positive
_dI--eQ6qVU,17,BUT WHEN THEY FIGURE OUT A NEW WAY TO INTERPRET THIS,-0.25,Negative
_dI--eQ6qVU,18,AND ADD SOMETHING LIKE AN EXTRA SPARK IN THERE,0.8,Positive
_dI--eQ6qVU,19,THAT MAKES IT MORE VISUALLY TRULY APPEALING,1.4,Positive
_dI--eQ6qVU,20,AND JUST DIFFERENT,0.2,Positive
_dI--eQ6qVU,21,IT ENGAGES THE AUDIENCE MORE,1.8,Positive
_dI--eQ6qVU,22,AND I JUST REALLY ENJOYED IT,2.0,Positive
_dI--eQ6qVU,23,THE GREEN HORNET DID SOMETHING SIMILAR,0.0,Neutral
_dI--eQ6qVU,24,BUT THEY TOOK A NEW SPIN ON IT,1.4,Positive
_dI--eQ6qVU,25,AND I JUST LOVED IT,2.6,Positive
_dI--eQ6qVU,26,AND I FEEL LIKE EVEN THOUGH THE FIGHTING SEQUENCES WERE A LITTLE BIT LONG IN SOME PLACES T,-0.6,Negative
_dI--eQ6qVU,27,SO I MEANT IF I WAS WEARING 3D GLASSES AND WAS SEEING THIS IN 3D I WOULDVE ENJOYED IT A LOT MORE,-0.4,Negative
_dI--eQ6qVU,28,AND I WOULD WANT THE SEQUENCES TO BE EVEN LONGER RATHER THAN SHORTER,0.2,Positive
03bSnISJMiM,1,ANYHOW IT WAS REALLY GOOD,2.4,Positive
